nome,data_nascimento,genero,salario_bruto,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,gasto_total_gab,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_par,presenca_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao
PATRUS ANANIAS DE SOUZA,26/01/1952,masculino,33763.0,24018.54,39827.35,54717.6,54875.05,42393.82,34520.85,28314.93,23534.46,12411.86,17816.65,1549.28,,333980.3900000001,111471.79,111471.79,111471.79,111471.79,111471.79,111471.79,111471.79,111471.79,111471.79,111471.79,,,1114717.9000000001,78,14,9,42,10,5
MARCO ANTÔNIO FELICIANO,12/10/1972,masculino,33763.0,16409.3,15313.17,26204.5,22449.14,40447.31,43250.46,33839.75,21664.84,14490.61,16213.61,0.0,,250282.69,111368.34,104360.16,111368.34,110321.79,111368.34,109798.51,107823.56,111368.34,111368.34,111368.34,,,1100514.06,85,7,0,38,12,6
MANOEL ISIDORIO DE SANTANA JUNIOR,28/07/1962,masculino,33763.0,18985.98,7305.2,24819.7,17539.09,17263.62,14958.11,9351.19,6767.24,5107.26,0.0,65.16,,122162.55,107571.53,110759.99,109535.1,109059.48,111629.57,111629.57,110968.2,109579.33,109579.33,109579.33,,,1099891.43,89,3,0,28,25,21
PAULO ABI-ACKEL,21/06/1963,masculino,33763.0,50879.76,37955.13,38334.7,37784.96,34690.33,17048.14,19193.24,11703.0,7031.98,9800.9,80.7,,264502.84,111538.31,110817.73,111004.47,111583.13,111604.58,111647.43,111647.43,110107.3,108838.96,108984.93,,,1107774.2699999998,77,15,15,5,52,52
PAULO FERNANDO DOS SANTOS,15/09/1957,masculino,33763.0,17870.27,16725.9,32875.97,39024.79,33319.95,22766.87,23531.76,13785.48,14270.34,8103.75,496.19,,222771.27000000002,111659.67,111659.67,111659.67,111659.67,111659.67,110842.8,111182.23,111659.67,111659.67,111659.67,,,1115302.3900000001,73,19,0,6,13,5
PAULO PEREIRA DA SILVA,24/02/1956,masculino,33763.0,29383.01,37602.3,44450.75,46446.53,47674.81,19088.84,19977.9,19527.49,16302.91,27225.4,873.34,,308553.28,111343.49,107820.9,105264.15,110968.98,111659.67,110813.89,110674.85,111659.67,111659.67,104410.83,,,1096276.1,46,46,0,2,24,11
PAULO EDUARDO LIMA MARTINS,20/04/1981,masculino,33763.0,3945.73,11259.49,15992.6,19018.57,2707.3,8218.59,11131.25,16570.06,22.25,3129.33,272.97,,92268.14,102152.26,98860.68,99214.26,106521.83,98007.37,89495.08,89495.08,93465.44,98709.04,101241.43,,,977162.47,91,1,1,25,0,0
PAULO VELLOSO DANTAS AZI,14/01/1963,masculino,33763.0,26573.17,22575.78,39470.93,54315.35,45960.76,40677.23,23921.98,20173.45,14938.36,15158.92,53.35,,303819.27999999997,111653.56,111653.56,111653.56,111653.56,111653.56,105448.85,111501.94,84752.91,94178.04,94178.04,,,1048327.5800000002,84,8,4,40,25,22
PAULO EDUARDO MAESTRI BENGTSON,06/01/1974,masculino,33763.0,24899.76,55324.78,58443.02,35093.13,30445.65,25398.99,50948.77,12321.28,10877.93,39272.42,25227.1,,368252.82999999996,111659.64,111659.64,111225.25,111659.64,111659.64,109864.15,111659.64,111659.64,111659.64,111659.64,,,1114366.52,74,18,0,36,45,32
PAULO GUSTAVO GANIME ALVES TEIXEIRA,19/04/1983,masculino,33763.0,5824.49,6334.72,7106.41,11947.54,5938.04,1814.9,903.97,4.58,3.16,7327.54,0.0,,47205.350000000006,73760.41,73760.41,63558.1,63218.02,63218.02,62690.9,48131.14,59845.03,50259.82,53153.86,,,611595.71,91,1,0,42,19,18
PAULO ROBERTO FOLETTO,30/04/1956,masculino,33763.0,0.19,51630.42,39961.07,33587.39,45223.11,39622.49,36912.19,32404.03,1290.94,,,,280631.83,0.0,0.0,7203.85,107317.7,111447.51,111550.44,111550.44,111550.44,110584.76,111578.78,,,782783.92,60,10,3,27,19,14
PAULO ROBERTO FREIRE DA COSTA,14/02/1955,masculino,33763.0,28123.72,40814.59,36407.71,19783.12,41182.9,7628.08,363.7,7406.48,4265.11,16064.11,0.0,,202039.51999999996,111508.06,111508.06,111508.06,111508.06,111508.06,111508.06,111508.06,111508.06,111508.06,111508.06,,,1115080.6000000003,74,18,10,21,11,9
Paulo Sérgio Ramos Barboza,18/10/1944,masculino,33763.0,31306.73,33083.48,45488.92,41894.52,40776.21,31441.15,25189.78,21649.26,20853.85,14891.88,1783.75,,308359.52999999997,111560.91,111623.33,111623.33,111623.33,111623.33,111623.33,111623.33,111623.33,111623.33,111623.33,,,1116170.88,75,17,4,51,40,17
PAULO JOSE CARLOS GUEDES,01/10/1970,masculino,33763.0,50413.88,36385.16,43402.14,47827.78,41593.85,21450.49,21887.9,27132.68,21181.05,14036.67,139.17,,325450.76999999996,111544.43,111544.43,111501.58,111257.51,110565.25,110600.74,111071.26,110674.48,111285.05,111442.34,,,1111487.07,79,13,6,46,30,23
PAULO ROBERTO SEVERO PIMENTA,19/03/1965,masculino,33763.0,41686.99,42323.66,49222.99,42354.53,32901.03,24113.63,31686.3,12308.5,7348.04,29691.83,178.31,,313815.81,111354.73,111252.94,111313.04,111544.32,111544.32,111544.32,111544.32,111501.47,111544.32,111544.32,,,1114688.1,84,8,0,2,21,18
RICARDO AUGUSTO MACHADO DA SILVA,01/09/1985,masculino,33763.0,46869.46,45084.75,39767.27,27339.96,44758.85,31421.18,25575.18,20837.8,14187.11,11911.55,1441.94,,309195.04999999993,110579.85,110579.85,111362.96,111416.97,111416.97,111416.97,111416.97,111416.97,111416.97,111416.97,,,1112441.45,89,3,3,51,14,14
LUIZ PAULO TEIXEIRA FERREIRA,09/05/1961,masculino,33763.0,40466.04,38234.76,37583.2,39346.86,42509.71,25284.11,20834.46,19352.1,7832.41,48080.49,1665.93,,321190.06999999995,111659.8,111659.8,111659.8,111659.8,111659.8,111659.8,111659.8,111659.8,111659.8,111635.16,,,1116573.36,84,8,8,73,37,37
PEDRO AUGUSTO GEROMEL BEZERRA DE MENEZES,11/10/1980,masculino,33763.0,19734.06,28439.45,40556.3,67828.9,47398.69,35714.39,30671.96,28461.24,16759.0,10109.67,3090.01,,328763.67,94142.1,93371.15,93371.15,93371.15,92962.2,102548.76,89862.58,88681.7,91617.35,99421.93,,,939350.0699999998,69,23,1,9,18,10
BENEDITO ROBERTO ALVES FERREIRA,27/05/1960,masculino,33763.0,33796.04,30363.13,35983.32,37144.68,34164.65,28065.77,19938.52,10559.32,83.45,,,,230098.87999999998,109132.76,107234.64,96888.0,105185.2,107935.24,107935.24,110811.59,111501.92,111501.92,111281.57,,,1079408.08,71,7,2,33,28,26
RICARDO TEOBALDO CAVALCANTI,18/10/1965,masculino,33763.0,75838.7,29031.88,30495.58,29669.48,37062.21,33057.3,33767.66,29421.01,26958.82,26767.79,0.0,,352070.43000000005,111120.99,111212.54,111152.88,111465.56,111108.83,110890.32,111508.05,111481.05,111392.77,111108.46,,,1112441.4500000002,67,25,16,6,19,15
MARCOS ROBERIO RIBEIRO MONTEIRO,15/02/1970,masculino,33763.0,47590.17,43538.26,54646.16,42748.76,30958.46,28787.21,13260.89,3509.26,5301.74,28832.12,0.0,,299173.02999999997,111586.97,111592.17,111596.36,111537.03,111479.16,111586.97,109754.31,110277.92,111586.97,111618.66,,,1112616.52,81,11,5,37,22,18
RODRIGO COELHO,29/06/1980,masculino,33763.0,12678.98,21407.72,28457.5,13620.7,25418.03,7973.08,3227.19,8.21,1.82,6413.83,0.0,,119207.06000000001,109154.71,111314.4,111501.02,111586.72,111586.72,110156.87,109978.97,109732.04,111665.67,111274.68,,,1107951.8,92,0,0,81,9,4
ROBERTO ALVES DE LUCENA,18/04/1966,masculino,33763.0,27341.46,32606.18,46347.4,61804.31,44824.77,33506.21,25809.69,16752.34,15560.73,37298.76,2858.7,,344710.55,111550.4,111427.12,111550.39,106316.6,103862.46,110721.82,111475.46,111586.8,111586.8,111638.44,,,1101716.29,90,2,1,57,37,32
RODRIGO ANTONIO DE AGOSTINHO MENDONÇA,12/12/1977,masculino,33763.0,37494.76,31595.53,46417.62,42559.37,55888.64,7585.9,10901.08,10003.24,1.97,976.41,0.0,,243424.51999999996,110810.36,110810.36,110810.36,110810.36,110810.36,110810.36,102087.7,102087.7,102087.7,103464.83,,,1074590.0899999999,87,5,0,89,10,5
ROGÉRIO CORREIA DE MOURA BAPTISTA,11/01/1958,masculino,33763.0,24911.46,32959.38,38622.31,33558.57,39922.11,30506.71,29548.85,32578.63,29736.38,17461.1,1237.54,,311043.04,111550.47,111550.47,111492.96,111586.89,111322.71,111550.47,111550.47,111550.47,111550.47,111550.47,,,1115255.8499999999,88,4,4,56,12,12
RODRIGO BATISTA DE CASTRO,15/07/1971,masculino,33763.0,29116.39,40257.88,39793.79,42822.4,46598.49,40201.06,31887.58,7204.14,7391.07,23409.79,1537.56,,310220.14999999997,110306.95,110306.95,110761.5,111635.37,111520.32,107830.91,100648.62,97447.42,96783.22,96743.2,,,1053984.4600000002,85,7,3,19,28,24
RODRIGO FELINTO IBARRA EPITÁCIO MAIA,12/06/1970,masculino,33763.0,8157.72,350.02,,,,,,,,,,,8507.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85453.97,,,85453.97,6,4,0,0,0,0
RONALDO MANCHADO MARTINS,21/01/1978,masculino,33763.0,33317.39,30426.34,21309.71,39000.0,,,,,,,,,124053.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,11,4,4,0,0,0
RONALDO CARLETTO,05/01/1960,masculino,33763.0,39853.86,37423.24,50559.78,35321.41,45779.44,16673.29,17006.88,22617.74,7609.31,2915.68,1193.72,,276954.35,111586.93,111586.93,111586.93,111586.93,111586.93,111586.93,111586.93,111586.93,111586.93,108778.61,,,1113060.9799999997,88,4,0,5,19,16
ROGÉRIO MENDONÇA,27/01/1953,masculino,33763.0,19071.55,19591.03,41184.63,23209.03,30598.89,32032.33,30699.45,29926.43,38113.63,18450.4,2056.52,,284933.8900000001,109169.18,108681.15,110025.02,111462.3,110179.58,109656.3,110879.89,109964.15,110926.7,109768.29,,,1100712.56,84,8,3,46,5,3
RUBENS OTONI GOMIDE,06/02/1956,masculino,33763.0,32770.27,38194.47,41561.05,46402.99,41744.76,29613.6,32364.01,12903.41,6861.72,25089.3,203.5,,307709.07999999996,111544.41,111544.41,111544.41,111544.41,111501.56,111004.56,111429.17,111429.17,111429.17,110577.02,,,1113548.29,75,17,12,11,21,19
VALDIR LUIZ ROSSONI,23/11/1952,masculino,33763.0,38434.25,41023.76,24376.55,39059.07,29171.19,2729.46,701.74,0.0,,,,,175496.02,104548.41,95995.0,105599.4,106533.93,111453.14,111617.11,111593.8,111416.9,111416.9,111416.9,,,1081591.49,42,19,13,0,1,1
RUBENS BUENO,23/05/1948,masculino,33763.0,8067.94,32116.2,31184.36,37095.34,57749.32,33151.06,34635.51,8556.44,14706.88,7256.76,7543.76,,272063.57,111253.23,111253.23,106987.97,108825.69,110646.65,110646.65,110646.65,109798.8,106891.9,108742.17,,,1095692.9400000002,91,1,1,65,6,6
RUY MANUEL CARNEIRO BARBOSA DE ACA BELCHIOR,17/08/1970,masculino,33763.0,20866.77,42973.86,57877.87,42187.85,35887.63,21876.48,14050.68,4363.86,559.91,61674.63,320.8,,302640.33999999997,111550.47,111395.79,111180.85,111301.37,111550.47,111320.37,110214.42,111550.47,111550.47,111550.47,,,1113165.15,79,13,1,17,17,8
RUBENS PEREIRA E SILVA JUNIOR,18/03/1984,masculino,33763.0,33232.76,43788.65,49953.73,46779.13,45113.71,44355.44,12257.09,27387.79,27391.12,28973.9,20182.98,,379416.30000000005,111380.59,110819.94,111380.59,111365.22,111194.31,111380.59,111099.21,111380.59,111393.12,111568.58,,,1112962.7399999998,92,0,0,35,16,16
RUI GOETHE DA COSTA FALCÃO,26/11/1943,masculino,33763.0,34561.93,52337.32,42161.06,44047.45,41707.8,30798.56,25457.29,16247.47,11762.34,11692.7,312.73,,311086.64999999997,111162.3,111162.3,111162.3,111162.3,110682.51,111162.3,111162.3,111162.3,111162.3,111162.3,,,1111143.2100000002,87,5,5,46,9,9
SANDRO ALEX CRUZ DE OLIVEIRA,25/11/1972,masculino,33763.0,31017.32,47899.43,24298.17,37183.26,10998.8,4916.86,23515.41,625.12,,,,,180454.36999999997,0.0,0.0,0.0,69926.13,87036.26,87826.98,94352.24,97459.5,97459.5,103881.44,,,637942.05,65,3,3,35,13,13
SAMUEL MOREIRA DA SILVA JUNIOR,09/02/1963,masculino,33763.0,18924.07,25557.73,40933.34,50610.63,38706.58,35099.02,21805.45,22925.53,9773.25,22973.66,45.24,,287354.49999999994,110903.38,104766.87,107428.02,108475.26,109925.19,106920.4,110435.32,105277.21,100395.58,106769.35,,,1071296.5799999998,88,4,0,45,5,2
UBIRATAN ANTUNES SANDERSON,01/12/1969,masculino,33763.0,37912.59,41503.33,58317.25,35943.44,48706.99,42505.85,39027.03,29437.05,28130.75,26343.91,1163.08,,388991.26999999996,107480.38,107480.38,109483.26,111119.86,111119.86,110913.82,107219.92,111653.64,111653.64,111653.64,,,1099778.4000000001,89,3,2,61,17,17
JOSÉ CARLOS NUNES JÚNIOR,26/05/1955,masculino,33763.0,34876.44,34076.57,52451.67,56019.27,49235.77,38194.51,39063.35,26889.26,23042.46,27389.17,1688.01,,382926.48,111046.99,111046.99,111103.15,106832.08,111043.48,110100.74,111389.82,109743.83,107342.4,110590.73,,,1100240.21,77,15,0,1,0,0
JOSÉ WILSON SANTIAGO,10/06/1957,masculino,33763.0,30349.27,31771.02,37471.51,42306.88,41459.58,17270.03,59218.14,39103.16,6056.23,28195.55,597.19,,333798.55999999994,111538.45,111556.03,110472.05,111429.07,111316.59,111277.46,111311.9,111544.34,111544.34,111544.34,,,1113534.5699999998,83,9,5,4,32,31
WOLNEY QUEIROZ MACIEL,12/12/1972,masculino,33763.0,15044.01,25762.61,38421.71,30994.45,66224.67,21880.28,15898.6,18340.68,27414.61,23755.87,135.22,,283872.70999999996,111532.2,111532.2,111532.2,111532.2,111532.2,111532.2,111532.2,111532.2,111532.2,111532.2,,,1115321.9999999998,82,10,0,2,38,33
JOSE VITOR DE RESENDE AGUIAR,01/11/1984,masculino,33763.0,26074.83,41836.76,32088.44,31715.89,26392.47,27638.6,9780.96,4941.65,5612.06,27149.16,0.0,,233230.81999999998,111586.81,108697.96,111507.97,111507.97,111165.15,111507.97,111507.97,111507.97,111507.97,111507.97,,,1112005.71,73,19,3,26,27,15
JOSÉ CERQUEIRA DE SANTANA NETO,30/03/1964,masculino,33763.0,50626.31,24451.08,44445.51,53822.92,32644.89,40002.57,24693.2,26270.76,8182.14,32332.5,0.0,,337471.88000000006,107824.82,108164.81,106195.45,109255.7,107442.69,107878.99,106497.6,106497.6,106497.6,106325.02,,,1072580.2799999998,83,9,3,54,7,7
JOSÉ SILVA SOARES,11/05/1963,masculino,33763.0,13589.72,23281.74,58030.74,45654.35,51011.56,24752.96,20633.31,16662.24,7130.92,12197.76,7.2,,272952.5,108014.11,108014.11,107883.21,103238.92,108831.65,109953.6,109039.66,111653.63,111653.63,110576.65,,,1088859.17,81,11,7,46,48,42
SEBASTIAO IGNACIO DE OLIVEIRA JUNIOR,31/08/1968,masculino,33763.0,32611.71,61997.85,45761.75,50783.9,40852.42,33153.1,37014.05,32841.73,22279.93,20304.61,759.93,,378360.9799999999,111550.4,111550.4,111151.62,108271.62,111550.4,111283.71,107107.52,111550.44,111475.23,110070.98,,,1105562.3199999998,61,31,0,2,19,9
GILSON CARDOSO FAHUR,06/11/1963,masculino,33763.0,26338.65,13404.82,31325.22,52086.32,24388.06,22309.23,29172.8,14543.32,12015.5,7852.59,2389.54,,235826.05000000002,66705.81,69549.81,73341.81,73341.81,73341.81,73341.81,73341.81,67133.94,66705.81,66705.81,,,703510.23,92,0,0,27,2,2
JOSÉ CARLOS BECKER DE OLIVEIRA E SILVA,21/06/1978,masculino,33763.0,38999.73,33224.73,52793.19,47568.26,57184.71,29897.6,36352.08,15418.42,9981.12,34877.93,545.0,,356842.76999999996,111077.16,111077.16,107757.43,108634.49,107404.64,103768.48,108159.53,108272.04,111647.36,111647.36,,,1089445.6500000001,75,17,7,9,26,22
SERGIO TOLEDO DE ALBUQUERQUE,29/01/1962,masculino,33763.0,30247.71,39363.12,39439.74,40960.33,29762.44,19142.21,17310.55,25965.33,22299.28,23731.51,0.0,,288222.22,111598.89,111598.89,111598.89,111598.89,111598.89,111598.89,111598.89,111598.89,111598.89,111598.89,,,1115988.9,47,45,1,1,21,1
SÉRGIO LUÍS LACERDA BRITO,08/06/1961,masculino,33763.0,45663.6,42654.52,52570.85,42077.69,38621.82,34830.22,44740.63,15255.91,11831.58,20879.61,1246.71,,350373.14,111512.47,111637.96,111607.2,111538.25,111538.25,111179.96,111280.54,111378.74,111647.19,110850.06,,,1114170.62,69,23,13,6,24,20
SERGIO DE SOUZA,13/03/1971,masculino,33763.0,44666.86,38116.97,56387.62,38979.42,54101.56,36334.73,28323.07,27848.37,7279.42,25087.44,1285.24,,358410.69999999995,103465.18,111598.82,111598.82,108459.16,95170.25,107026.01,111202.02,111526.06,111526.06,111526.06,,,1083098.4400000002,84,8,4,20,0,0
SILAS CÂMARA,15/12/1962,masculino,33763.0,53511.75,30068.31,89746.79,49917.31,26361.91,26004.72,3334.78,49845.67,36031.91,7468.31,0.0,,372291.46,110677.96,110638.64,109858.49,104374.6,104374.6,105000.6,106461.25,107232.58,107789.66,107692.99,,,1074101.37,68,24,6,14,35,15
SEVERINO DE LIRA PESSÔA,06/02/1970,masculino,33763.0,56448.73,40975.67,38983.26,51480.91,46528.02,20039.0,12962.54,10449.32,2.3,71435.56,0.0,,349305.31,107456.07,107456.07,110847.44,108039.99,109624.62,110681.41,110195.41,109900.71,111249.56,101856.79,,,1087308.07,79,13,7,13,18,16
SIDNEY RICARDO DE OLIVEIRA LEITE,08/04/1967,masculino,33763.0,8648.68,35886.24,88152.88,30161.65,54238.48,27619.45,17293.5,2933.41,2.45,10801.0,206.71,,275944.45,111580.83,110906.22,107595.38,111325.25,111241.15,111562.02,111659.67,111659.67,111591.32,107626.27,,,1106747.78,84,8,8,59,7,7
STEFANO AGUIAR DOS SANTOS,03/03/1976,masculino,33763.0,32277.66,34395.67,41449.67,37761.02,36140.38,32186.87,29189.44,19927.58,17465.41,9443.71,500.62,,290738.02999999997,111507.96,111507.96,111507.96,111507.96,111507.96,109724.62,109724.62,109724.62,109724.62,108781.88,,,1105220.1600000001,75,17,7,7,16,9
SILVIO SERAFIM COSTA FILHO,05/03/1982,masculino,33763.0,30879.38,35595.55,50370.63,44280.75,48544.47,36480.91,35984.13,48988.28,27163.19,37195.95,0.0,,395483.24,111550.59,111550.59,111327.92,111550.59,110788.05,111550.59,111550.59,111550.59,111550.59,111550.59,,,1114520.69,80,12,6,31,8,6
SOSTENES SILVA CAVALCANTE,16/01/1975,masculino,33763.0,34347.99,36686.76,37385.24,34187.85,42574.72,33422.21,27180.57,16640.69,10097.79,32778.32,808.89,,306111.02999999997,111471.63,111471.65,110392.32,109919.18,110901.44,110898.63,111435.26,111435.26,111435.26,111435.26,,,1110795.89,90,2,1,22,53,50
Tiago Dimas Braga Pereira,04/08/1988,masculino,33763.0,25207.06,42885.58,64235.29,54312.34,20107.35,27029.27,25908.66,11604.28,48026.14,14528.62,6808.19,,340652.78,111006.97,109190.74,109190.74,109190.74,108805.07,110517.32,111287.52,109789.26,103714.49,110484.48,,,1093177.33,89,3,3,9,1,1
LUIZ GONZAGA RIBEIRO,31/05/1962,masculino,33763.0,22268.14,23651.34,39632.53,43427.86,54538.56,30205.1,35399.21,27745.12,24901.42,22874.33,584.72,,325228.32999999996,111544.49,111544.49,111535.88,111461.97,110137.2,109363.2,110137.2,110137.2,110137.2,111164.48,,,1107163.3099999998,86,6,3,95,17,15
FRANCISCO TADEU BARBOSA DE ALENCAR,08/04/1963,masculino,33763.0,33136.04,35605.24,47956.4,52313.5,53943.06,36506.38,38165.37,29185.97,35584.92,18975.43,718.51,,382090.81999999995,82100.84,82100.84,82100.84,82100.84,83823.55,94672.9,99931.87,102657.96,102657.96,101108.43,,,913256.0299999998,82,10,1,43,54,39
CARLOS TITO MARQUES CORDEIRO,17/11/1976,masculino,33763.0,30501.3,31777.19,30293.06,31159.96,81946.39,12029.6,20240.56,18796.03,10779.49,12938.08,1058.05,,281519.71,111587.05,111587.05,111587.05,111564.01,111498.03,111550.67,111550.67,111550.67,111550.67,111550.68,,,1115576.5500000003,92,0,0,27,7,7
TIAGO LIMA MITRAUD DE CASTRO LEITE,15/08/1986,masculino,33763.0,3566.57,3135.34,2309.4,2560.68,8067.83,4398.55,2855.86,216.89,191.77,344.58,0.0,,27647.47,34798.86,31959.96,43996.79,52593.1,55384.47,56148.88,53361.59,43944.69,14691.41,21331.71,,,408211.46,92,0,0,107,7,7
FRANCISCO EVERARDO TIRIRICA OLIVEIRA SILVA,01/05/1965,masculino,33763.0,10744.18,20999.68,20819.91,22736.94,28371.73,25748.36,27555.21,15056.32,13606.42,8132.07,0.0,,193770.82000000004,111143.93,111143.93,111048.44,111598.88,111598.88,111598.88,111598.88,105364.04,104696.02,104696.02,,,1094487.9000000001,69,23,2,4,16,8
ULDURICO ALENCAR PINTO,30/01/1992,masculino,33763.0,5676.51,39129.5,29853.85,79759.43,19410.55,25244.16,35620.95,73478.81,37352.03,10205.83,46138.18,,401869.79999999993,109183.02,109663.55,110707.3,109378.89,108692.27,109378.89,109378.89,109378.89,110140.36,110270.55,,,1096172.61,77,15,5,5,18,12
ANTONIO WANDSCHEER,31/08/1950,masculino,33763.0,41777.79,39307.55,48754.02,48076.79,33128.88,24222.67,17864.61,13310.97,5376.98,34422.79,575.57,,306818.61999999994,111665.71,111665.71,111665.71,111665.71,106352.43,103305.77,105808.24,109253.63,109427.39,109427.39,,,1090237.69,81,11,7,3,2,2
TÚLIO GADÊLHA SALES DE MELO,12/11/1987,masculino,33763.0,22201.56,33060.63,55862.54,51086.03,59826.44,34741.72,31903.99,31005.22,24904.26,33878.06,5671.42,,384141.87,111435.4,110985.67,111288.65,110232.48,111665.84,110955.1,108096.17,108686.96,111593.09,109795.26,,,1104734.6199999999,84,8,0,53,77,61
VANDER LUIZ DOS SANTOS LOUBET,22/01/1964,masculino,33763.0,49425.1,33721.13,37451.17,39976.96,41545.38,38451.69,27215.78,9051.5,4483.21,37732.84,792.74,,319847.5,107579.85,107298.47,107298.47,110642.16,111659.8,111659.8,111659.8,111659.8,111659.8,111659.8,,,1102777.7500000002,87,5,2,13,10,9
FRANCISCO VAIDON OLIVEIRA,02/04/1975,masculino,33763.0,23778.48,42615.45,43405.02,40762.03,60084.33,222.0,26030.0,628.02,,,,,237525.33,111635.46,110860.77,111028.88,109585.62,105419.03,105124.91,111562.77,111562.77,111562.77,106932.0,,,1095274.98,54,7,3,3,10,8
VALMIR CARLOS DA ASSUNÇÃO,17/12/1964,masculino,33763.0,44395.14,46537.39,44131.6,48258.75,36050.94,38814.68,34071.61,34806.12,17856.95,18203.94,111.93,,363239.05,111617.19,111617.19,111476.5,111617.19,111617.19,110585.18,104425.66,106305.67,111392.75,111392.75,,,1102047.27,83,9,2,13,11,9
NELSI COGUETTO MARIA,01/03/1959,masculino,33763.0,40396.46,36014.91,46849.79,40603.35,52721.83,37782.35,27881.3,18738.35,27472.39,37393.54,1994.68,,367848.95,110519.15,108830.28,109428.11,104631.08,109592.25,110331.11,110331.11,110588.22,111659.52,111659.52,,,1097570.3499999999,85,7,4,16,3,3
VANDERLEI MACRIS,20/05/1950,masculino,33763.0,58359.31,41010.69,35983.56,33429.65,34362.74,43973.37,39405.44,37712.64,27149.77,36103.24,382.12,,387872.53,109269.77,108453.91,111586.33,111659.71,111659.71,111659.71,107850.57,109854.64,109269.77,108848.68,,,1100112.8,83,9,5,24,15,10
WAGNER BACH MARTINS,03/06/1982,masculino,33763.0,13175.53,18160.99,88174.09,31772.02,23536.01,37453.18,15004.74,9936.45,3587.11,59602.81,150.0,,300552.93,111032.85,108426.5,110051.36,111574.66,111574.66,111324.34,111574.66,111574.66,111574.66,111574.66,,,1110283.01,82,10,8,16,16,10
VILSON LUIZ DA SILVA,01/05/1957,masculino,33763.0,13864.38,12202.47,12981.84,35640.68,38383.43,48646.12,35184.8,19061.99,16192.22,11829.03,19712.06,,263699.01999999996,100801.9,100801.9,99965.01,103710.64,110925.72,105055.83,105194.9,109355.65,108535.78,94458.74,,,1038806.0700000001,88,4,1,59,5,3
VICENTE PAULO DA SILVA,08/04/1956,masculino,33763.0,13501.99,33730.27,71585.86,35951.02,45465.67,34562.44,36569.02,17307.06,5656.42,8665.24,0.0,,302994.99,111508.02,111508.02,111508.02,111508.02,111508.02,111508.02,111508.02,111508.02,111508.02,111508.02,,,1115080.2,83,9,2,19,16,14
VICENTE ALVES DE OLIVEIRA JUNIOR,11/04/1985,masculino,33763.0,37276.44,39572.89,42368.97,39808.6,30327.75,41871.0,42317.27,33618.36,50378.82,50000.0,0.0,,407540.1,111477.7,110881.51,111497.27,111034.88,111354.02,111014.26,108081.62,98361.27,100031.52,96342.33,,,1070076.3800000001,69,23,23,15,23,23
VINICIUS LAZZER POIT,31/01/1986,masculino,33763.0,18431.82,19119.82,20091.36,22529.2,18953.4,13634.91,18453.31,20492.33,19267.75,18116.72,0.0,,189090.62000000002,68524.6,67693.7,68191.96,63479.21,70848.78,70848.78,70848.78,56804.65,51380.32,64864.36,,,653485.14,86,6,1,25,8,4
VINICIUS RAPOZO DE CARVALHO,07/01/1966,masculino,33763.0,41672.56,39581.43,57042.94,42691.74,36753.2,39290.07,35365.86,18744.31,15224.99,13958.27,403.39,,340728.76,103616.36,103616.36,103616.36,103616.36,104709.37,105399.7,107051.56,110786.16,110786.16,110153.37,,,1063351.7600000002,79,13,0,9,15,10
VINICIUS MEDEIROS FARAH,21/06/1965,masculino,33763.0,8158.18,63507.53,16857.35,26990.19,4635.32,3.53,83285.68,681.09,,,,,204118.87,0.0,0.0,0.0,55157.49,80703.13,106463.12,111562.45,109355.91,111374.46,111293.45,,,685910.0099999999,47,21,18,12,34,29
WALTER PEREIRA ALVES,27/02/1980,masculino,33763.0,16275.45,52068.25,43693.12,58063.77,58625.31,36037.87,19606.3,21869.88,3500.01,7812.68,211.14,,317763.78,109243.61,110758.36,111338.08,111338.08,111338.08,111338.08,111338.08,111338.08,111338.08,111338.08,,,1110706.6099999999,77,15,7,9,12,8
VITOR LIPPI,18/05/1959,masculino,33763.0,24887.33,32569.74,38925.48,49406.16,47864.03,26402.16,27593.94,26251.12,26683.06,20744.31,198.0,,321525.33,101487.37,101487.37,102816.16,107061.86,107511.9,107668.44,100367.15,100425.85,100425.85,100425.85,,,1029677.8,89,3,3,31,12,12
WALDENOR ALVES PEREIRA FILHO,08/03/1954,masculino,33763.0,28566.62,43501.52,49667.48,41518.06,42594.78,26126.51,17743.64,6816.73,7094.89,11213.89,727.19,,275571.31,111659.64,111659.64,111659.64,110105.78,110466.03,110331.21,110331.21,110331.21,110331.21,110331.21,,,1107206.7799999998,84,8,0,32,20,18
