nome,data_nascimento,genero,salario_bruto,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,gasto_total_gab,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_par,presenca_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao
MARCEL VAN HATTEM,08/11/1985,masculino,33763.0,8123.69,12211.18,14110.85,12804.33,14137.18,10989.52,6481.38,8305.85,1594.95,9969.54,674.69,,99403.16,59210.65,74561.08,77565.06,86027.94,88136.42,88475.3,88365.7,66535.02,50212.88,50212.88,,,729302.9299999999,92,0,0,73,17,4
LUIZ GOULARTE ALVES,06/06/1962,masculino,33763.0,17529.81,25209.26,29794.99,33767.73,60114.45,51834.55,20110.94,22280.94,15181.93,11105.5,1497.7,,288427.8,108232.4,109781.35,109900.5,109900.5,109900.5,109900.5,108325.93,109537.14,109900.5,109900.5,,,1095279.8199999998,83,9,3,79,7,4
VITOR HUGO DE ARAUJO ALMEIDA,31/05/1977,masculino,33763.0,16432.6,26263.43,32192.06,24370.73,53974.9,20455.63,20521.9,18883.41,19878.69,14201.72,1196.59,,248371.66,107407.57,103693.97,109197.36,107703.17,109899.43,101572.63,102809.45,106773.19,109126.21,111653.64,,,1069836.6199999999,87,5,0,3,0,0
MARCELO CALERO FARIA GARCIA,07/07/1982,masculino,33763.0,1.1,0.0,29402.3,28404.63,33524.41,20206.58,29621.93,26800.12,25672.41,1176.83,,,194810.31,0.0,23880.29,3594.88,49213.63,59918.95,67197.14,73698.14,80943.09,86692.72,89528.34,,,534667.1799999999,65,5,0,52,30,23
MARCELO HENRIQUE TEIXEIRA DIAS,16/02/1974,masculino,33763.0,30085.79,36472.63,48468.84,34529.84,42150.69,25388.43,21373.22,20519.82,20596.13,22114.84,609.56,,302309.79,110549.48,110549.48,110549.48,110549.48,110453.99,109913.41,111574.63,110366.56,109791.29,109791.29,,,1104089.09,82,10,10,12,5,5
MARCELO GUILHERME DE ARO FERREIRA,12/06/1987,masculino,33763.0,26986.31,36645.34,47099.34,36707.5,41663.07,44619.68,30286.71,26697.75,23922.88,14890.89,1737.22,,331256.69,106502.04,111068.56,111653.48,104573.06,103998.48,103998.48,108171.78,109020.22,111580.78,110200.13,,,1080767.01,84,8,5,10,49,47
JOSÉ MARCELO DO NASCIMENTO NILO,26/04/1955,masculino,33763.0,61106.1,34937.85,36268.18,40958.43,35389.33,43742.38,26510.69,33743.64,26004.96,25512.62,4461.41,,368635.59,111617.25,111617.25,111617.25,111617.25,111617.25,111617.25,111617.25,111617.25,111617.25,111617.25,,,1116172.5,80,12,6,13,2,0
MARCELO PIRES MORAES,07/08/1979,masculino,33763.0,15903.33,44958.34,24488.41,24420.07,33677.36,32417.15,26539.86,4190.21,4950.67,9900.77,0.0,,221446.17,108976.88,107192.46,110469.44,111026.25,109177.45,111653.48,111653.48,111653.48,105897.43,103044.72,,,1090745.0699999998,87,5,2,16,19,16
MARCELO RIBEIRO FREIXO,12/04/1967,masculino,33763.0,25371.5,37740.75,19009.57,39407.4,37663.26,20187.89,24073.45,6438.59,3826.9,16272.82,0.0,,229992.13,109763.04,108881.53,107855.63,110816.54,106834.03,107170.93,111113.71,105198.94,100500.32,100512.4,,,1068647.0699999998,87,5,5,4,14,14
MARCIO DELLA VALLE BIOLCHI,23/05/1979,masculino,33763.0,29839.52,27502.09,37568.05,60835.16,62647.47,28392.17,39477.13,22006.65,9774.7,9645.25,1057.79,,328745.98000000004,111398.83,111398.83,111313.13,110867.47,111082.43,107055.29,104805.27,104805.27,104805.27,104805.27,,,1082337.06,82,10,2,1,7,7
